month,year,language,popularity,hex
October,2004,Lua,0.22,#0F007C
October,2004,Matlab,2.2399999999999998,#F0800E
October,2004,Objective-C,0.2,#AFB6CA
October,2004,Perl,7.17,#113E62
October,2004,PHP,19.34,#7277AD
October,2004,Python,2.92,#336994
October,2004,R,0.42,#2566B5
October,2004,Ruby,0.45999999999999996,#B01E00
October,2004,Rust,0.11,#000000
October,2004,Scala,0.04,#DE3424
October,2004,Swift,0,#E94F37
October,2004,TypeScript,0,#3178C6
October,2004,VBA,1.6099999999999999,#93217F
October,2004,Visual Basic,8.49,NA
November,2004,Abap,0.38,#06A9EA
November,2004,Ada,0.38,#101EC8
November,2004,C/C++,9.520000000000001,#00599C
November,2004,C#,5.24,#813084
November,2004,Cobol,0.5499999999999999,#1D1063
November,2004,Dart,0,#2DB6F6
November,2004,Delphi,2.76,#F32835
November,2004,Go,0,#66D0DE
November,2004,Groovy,0.06999999999999999,#619CBC
November,2004,Haskell,0.24,#8F4E8B
November,2004,Java,29.59,#F8981E
November,2004,JavaScript,8.51,#F3D23C
November,2004,Julia,0,#369325
November,2004,Kotlin,0,#7F52FF
November,2004,Lua,0.22999999999999998,#0F007C
November,2004,Matlab,2.21,#F0800E
November,2004,Objective-C,0.22,#AFB6CA
November,2004,Perl,7.06,#113E62
November,2004,PHP,19.43,#7277AD
November,2004,Python,2.8400000000000003,#336994
November,2004,R,0.41000000000000003,#2566B5
November,2004,Ruby,0.44999999999999996,#B01E00
November,2004,Rust,0.13,#000000
November,2004,Scala,0.04,#DE3424
November,2004,Swift,0,#E94F37
November,2004,TypeScript,0,#3178C6
November,2004,VBA,1.5,#93217F
November,2004,Visual Basic,8.24,NA
December,2004,Abap,0.36,#06A9EA
December,2004,Ada,0.37,#101EC8
December,2004,C/C++,9.56,#00599C
December,2004,C#,5.2299999999999995,#813084
December,2004,Cobol,0.53,#1D1063
December,2004,Dart,0,#2DB6F6
December,2004,Delphi,2.77,#F32835
December,2004,Go,0,#66D0DE
December,2004,Groovy,0.09,#619CBC
December,2004,Haskell,0.22,#8F4E8B
December,2004,Java,29.759999999999998,#F8981E
December,2004,JavaScript,8.55,#F3D23C
December,2004,Julia,0,#369325
December,2004,Kotlin,0,#7F52FF
December,2004,Lua,0.21,#0F007C
December,2004,Matlab,2.1399999999999997,#F0800E
December,2004,Objective-C,0.21,#AFB6CA
December,2004,Perl,7.049999999999999,#113E62
December,2004,PHP,19.73,#7277AD
December,2004,Python,2.71,#336994
December,2004,R,0.4,#2566B5
December,2004,Ruby,0.42,#B01E00
December,2004,Rust,0.13,#000000
December,2004,Scala,0.04,#DE3424
December,2004,Swift,0,#E94F37
December,2004,TypeScript,0,#3178C6
December,2004,VBA,1.46,#93217F
December,2004,Visual Basic,8.08,NA
January,2005,Abap,0.38999999999999996,#06A9EA
January,2005,Ada,0.38,#101EC8
January,2005,C/C++,9.700000000000001,#00599C
January,2005,C#,5.2299999999999995,#813084
January,2005,Cobol,0.5599999999999999,#1D1063
January,2005,Dart,0,#2DB6F6
January,2005,Delphi,2.65,#F32835
January,2005,Go,0,#66D0DE
January,2005,Groovy,0.11,#619CBC
January,2005,Haskell,0.21,#8F4E8B
January,2005,Java,29.68,#F8981E
January,2005,JavaScript,8.37,#F3D23C
January,2005,Julia,0,#369325
January,2005,Kotlin,0,#7F52FF
January,2005,Lua,0.24,#0F007C
January,2005,Matlab,2.22,#F0800E
January,2005,Objective-C,0.19,#AFB6CA
January,2005,Perl,7.000000000000001,#113E62
January,2005,PHP,19.81,#7277AD
January,2005,Python,2.91,#336994
January,2005,R,0.38999999999999996,#2566B5
January,2005,Ruby,0.47000000000000003,#B01E00
January,2005,Rust,0.15,#000000
January,2005,Scala,0.03,#DE3424
January,2005,Swift,0,#E94F37
January,2005,TypeScript,0,#3178C6
January,2005,VBA,1.51,#93217F
January,2005,Visual Basic,7.79,NA
February,2005,Abap,0.37,#06A9EA
February,2005,Ada,0.38999999999999996,#101EC8
February,2005,C/C++,9.879999999999999,#00599C
February,2005,C#,5.21,#813084
February,2005,Cobol,0.49,#1D1063
February,2005,Dart,0,#2DB6F6
February,2005,Delphi,2.6599999999999997,#F32835
February,2005,Go,0,#66D0DE
February,2005,Groovy,0.06999999999999999,#619CBC
February,2005,Haskell,0.21,#8F4E8B
February,2005,Java,30.29,#F8981E
February,2005,JavaScript,8.12,#F3D23C
February,2005,Julia,0,#369325
February,2005,Kotlin,0,#7F52FF
February,2005,Lua,0.25,#0F007C
February,2005,Matlab,2.31,#F0800E
February,2005,Objective-C,0.18,#AFB6CA
February,2005,Perl,6.92,#113E62
February,2005,PHP,19.63,#7277AD
February,2005,Python,2.87,#336994
February,2005,R,0.38,#2566B5
February,2005,Ruby,0.44999999999999996,#B01E00
February,2005,Rust,0.15,#000000
February,2005,Scala,0.03,#DE3424
February,2005,Swift,0,#E94F37
February,2005,TypeScript,0,#3178C6
February,2005,VBA,1.4500000000000002,#93217F
February,2005,Visual Basic,7.670000000000001,NA
March,2005,Abap,0.33999999999999997,#06A9EA
March,2005,Ada,0.37,#101EC8
March,2005,C/C++,9.879999999999999,#00599C
March,2005,C#,5.38,#813084
March,2005,Cobol,0.44999999999999996,#1D1063
March,2005,Dart,0,#2DB6F6
March,2005,Delphi,2.65,#F32835
March,2005,Go,0,#66D0DE
March,2005,Groovy,0.08,#619CBC
March,2005,Haskell,0.22999999999999998,#8F4E8B
March,2005,Java,30.2,#F8981E
March,2005,JavaScript,8.28,#F3D23C
March,2005,Julia,0,#369325
March,2005,Kotlin,0,#7F52FF
March,2005,Lua,0.22999999999999998,#0F007C
March,2005,Matlab,2.36,#F0800E
March,2005,Objective-C,0.15,#AFB6CA
March,2005,Perl,6.87,#113E62
March,2005,PHP,19.54,#7277AD
March,2005,Python,2.81,#336994
March,2005,R,0.42,#2566B5
March,2005,Ruby,0.45999999999999996,#B01E00
March,2005,Rust,0.13,#000000
March,2005,Scala,0.03,#DE3424
March,2005,Swift,0,#E94F37
March,2005,TypeScript,0,#3178C6
March,2005,VBA,1.44,#93217F
March,2005,Visual Basic,7.68,NA
April,2005,Abap,0.33999999999999997,#06A9EA
April,2005,Ada,0.36,#101EC8
April,2005,C/C++,9.85,#00599C
April,2005,C#,5.42,#813084
April,2005,Cobol,0.41000000000000003,#1D1063
April,2005,Dart,0,#2DB6F6
April,2005,Delphi,2.56,#F32835
April,2005,Go,0,#66D0DE
April,2005,Groovy,0.08,#619CBC
April,2005,Haskell,0.22,#8F4E8B
April,2005,Java,30.55,#F8981E
April,2005,JavaScript,8.39,#F3D23C
April,2005,Julia,0,#369325
April,2005,Kotlin,0,#7F52FF
April,2005,Lua,0.22,#0F007C
April,2005,Matlab,2.21,#F0800E
April,2005,Objective-C,0.13,#AFB6CA
April,2005,Perl,6.7299999999999995,#113E62
April,2005,PHP,19.93,#7277AD
April,2005,Python,2.78,#336994
April,2005,R,0.4,#2566B5
April,2005,Ruby,0.43,#B01E00
April,2005,Rust,0.11,#000000
April,2005,Scala,0.02,#DE3424
April,2005,Swift,0,#E94F37
April,2005,TypeScript,0,#3178C6
April,2005,VBA,1.3599999999999999,#93217F
April,2005,Visual Basic,7.5200000000000005,NA
May,2005,Abap,0.35000000000000003,#06A9EA
May,2005,Ada,0.37,#101EC8
May,2005,C/C++,9.719999999999999,#00599C
May,2005,C#,5.62,#813084
May,2005,Cobol,0.4,#1D1063
May,2005,Dart,0,#2DB6F6
May,2005,Delphi,2.5,#F32835
May,2005,Go,0,#66D0DE
May,2005,Groovy,0.09,#619CBC
May,2005,Haskell,0.22999999999999998,#8F4E8B
May,2005,Java,30.25,#F8981E
May,2005,JavaScript,8.25,#F3D23C
May,2005,Julia,0,#369325
May,2005,Kotlin,0,#7F52FF
May,2005,Lua,0.22999999999999998,#0F007C
May,2005,Matlab,2.23,#F0800E
May,2005,Objective-C,0.13,#AFB6CA
May,2005,Perl,6.75,#113E62
May,2005,PHP,19.869999999999997,#7277AD
May,2005,Python,2.88,#336994
May,2005,R,0.41000000000000003,#2566B5
May,2005,Ruby,0.47000000000000003,#B01E00
May,2005,Rust,0.09,#000000
May,2005,Scala,0.02,#DE3424
May,2005,Swift,0,#E94F37
May,2005,TypeScript,0,#3178C6
May,2005,VBA,1.47,#93217F
May,2005,Visual Basic,7.66,NA
June,2005,Abap,0.35000000000000003,#06A9EA
June,2005,Ada,0.36,#101EC8
June,2005,C/C++,9.46,#00599C
June,2005,C#,5.7700000000000005,#813084
June,2005,Cobol,0.4,#1D1063
June,2005,Dart,0,#2DB6F6
June,2005,Delphi,2.44,#F32835
June,2005,Go,0,#66D0DE
June,2005,Groovy,0.08,#619CBC
June,2005,Haskell,0.22999999999999998,#8F4E8B
June,2005,Java,30.4,#F8981E
June,2005,JavaScript,8.35,#F3D23C
June,2005,Julia,0,#369325
June,2005,Kotlin,0,#7F52FF
June,2005,Lua,0.24,#0F007C
June,2005,Matlab,2.29,#F0800E
June,2005,Objective-C,0.12,#AFB6CA
June,2005,Perl,6.569999999999999,#113E62
June,2005,PHP,19.79,#7277AD
June,2005,Python,2.9499999999999997,#336994
June,2005,R,0.41000000000000003,#2566B5
June,2005,Ruby,0.5499999999999999,#B01E00
June,2005,Rust,0.1,#000000
June,2005,Scala,0.01,#DE3424
June,2005,Swift,0,#E94F37
June,2005,TypeScript,0,#3178C6
June,2005,VBA,1.55,#93217F
June,2005,Visual Basic,7.580000000000001,NA
July,2005,Abap,0.33,#06A9EA
July,2005,Ada,0.33999999999999997,#101EC8
July,2005,C/C++,9.3,#00599C
July,2005,C#,6.17,#813084
July,2005,Cobol,0.38999999999999996,#1D1063
July,2005,Dart,0,#2DB6F6
July,2005,Delphi,2.5,#F32835
July,2005,Go,0,#66D0DE
July,2005,Groovy,0.08,#619CBC
July,2005,Haskell,0.24,#8F4E8B
July,2005,Java,30.36,#F8981E
July,2005,JavaScript,8.42,#F3D23C
July,2005,Julia,0,#369325
July,2005,Kotlin,0,#7F52FF
July,2005,Lua,0.21,#0F007C
July,2005,Matlab,2.2800000000000002,#F0800E
July,2005,Objective-C,0.13,#AFB6CA
July,2005,Perl,6.4799999999999995,#113E62
July,2005,PHP,19.5,#7277AD
July,2005,Python,2.98,#336994
July,2005,R,0.44,#2566B5
July,2005,Ruby,0.62,#B01E00
July,2005,Rust,0.11,#000000
July,2005,Scala,0.01,#DE3424
July,2005,Swift,0,#E94F37
July,2005,TypeScript,0,#3178C6
July,2005,VBA,1.59,#93217F
July,2005,Visual Basic,7.53,NA
August,2005,Abap,0.32,#06A9EA
August,2005,Ada,0.31,#101EC8
August,2005,C/C++,9.16,#00599C
August,2005,C#,6.16,#813084
August,2005,Cobol,0.4,#1D1063
August,2005,Dart,0,#2DB6F6
August,2005,Delphi,2.35,#F32835
August,2005,Go,0,#66D0DE
August,2005,Groovy,0.09,#619CBC
August,2005,Haskell,0.25,#8F4E8B
August,2005,Java,30.29,#F8981E
August,2005,JavaScript,8.63,#F3D23C
August,2005,Julia,0,#369325
August,2005,Kotlin,0,#7F52FF
August,2005,Lua,0.21,#0F007C
August,2005,Matlab,2.12,#F0800E
August,2005,Objective-C,0.11,#AFB6CA
August,2005,Perl,6.529999999999999,#113E62
August,2005,PHP,19.67,#7277AD
August,2005,Python,3.1300000000000003,#336994
August,2005,R,0.44,#2566B5
August,2005,Ruby,0.66,#B01E00
August,2005,Rust,0.12,#000000
August,2005,Scala,0.02,#DE3424
August,2005,Swift,0,#E94F37
August,2005,TypeScript,0,#3178C6
August,2005,VBA,1.6099999999999999,#93217F
August,2005,Visual Basic,7.430000000000001,NA
September,2005,Abap,0.36,#06A9EA
September,2005,Ada,0.29,#101EC8
September,2005,C/C++,9.07,#00599C
September,2005,C#,6.1899999999999995,#813084
September,2005,Cobol,0.4,#1D1063
September,2005,Dart,0,#2DB6F6
September,2005,Delphi,2.33,#F32835
September,2005,Go,0,#66D0DE
September,2005,Groovy,0.08,#619CBC
September,2005,Haskell,0.22,#8F4E8B
September,2005,Java,30.23,#F8981E
September,2005,JavaScript,8.37,#F3D23C
September,2005,Julia,0,#369325
September,2005,Kotlin,0,#7F52FF
September,2005,Lua,0.26,#0F007C
September,2005,Matlab,2.0500000000000003,#F0800E
September,2005,Objective-C,0.13,#AFB6CA
September,2005,Perl,6.59,#113E62
September,2005,PHP,19.869999999999997,#7277AD
September,2005,Python,3.2800000000000002,#336994
September,2005,R,0.44999999999999996,#2566B5
September,2005,Ruby,0.79,#B01E00
September,2005,Rust,0.18,#000000
September,2005,Scala,0.01,#DE3424
September,2005,Swift,0,#E94F37
September,2005,TypeScript,0,#3178C6
September,2005,VBA,1.6,#93217F
September,2005,Visual Basic,7.28,NA
October,2005,Abap,0.38,#06A9EA
October,2005,Ada,0.31,#101EC8
October,2005,C/C++,8.709999999999999,#00599C
October,2005,C#,6.2,#813084
October,2005,Cobol,0.44999999999999996,#1D1063
October,2005,Dart,0,#2DB6F6
October,2005,Delphi,2.44,#F32835
October,2005,Go,0,#66D0DE
October,2005,Groovy,0.08,#619CBC
October,2005,Haskell,0.24,#8F4E8B
October,2005,Java,30.18,#F8981E
October,2005,JavaScript,8.17,#F3D23C
October,2005,Julia,0,#369325
October,2005,Kotlin,0,#7F52FF
October,2005,Lua,0.27999999999999997,#0F007C
October,2005,Matlab,2.19,#F0800E
October,2005,Objective-C,0.13999999999999999,#AFB6CA
October,2005,Perl,6.61,#113E62
October,2005,PHP,19.66,#7277AD
October,2005,Python,3.47,#336994
October,2005,R,0.49,#2566B5
October,2005,Ruby,0.95,#B01E00
October,2005,Rust,0.16,#000000
October,2005,Scala,0.01,#DE3424
October,2005,Swift,0,#E94F37
October,2005,TypeScript,0,#3178C6
October,2005,VBA,1.69,#93217F
October,2005,Visual Basic,7.21,NA
November,2005,Abap,0.38,#06A9EA
November,2005,Ada,0.27999999999999997,#101EC8
November,2005,C/C++,8.5,#00599C
November,2005,C#,6.32,#813084
November,2005,Cobol,0.44999999999999996,#1D1063
November,2005,Dart,0,#2DB6F6
November,2005,Delphi,2.4699999999999998,#F32835
November,2005,Go,0,#66D0DE
November,2005,Groovy,0.06999999999999999,#619CBC
November,2005,Haskell,0.25,#8F4E8B
November,2005,Java,30.240000000000002,#F8981E
November,2005,JavaScript,8.23,#F3D23C
November,2005,Julia,0,#369325
November,2005,Kotlin,0,#7F52FF
November,2005,Lua,0.3,#0F007C
November,2005,Matlab,2.27,#F0800E
November,2005,Objective-C,0.13,#AFB6CA
November,2005,Perl,6.550000000000001,#113E62
November,2005,PHP,19.59,#7277AD
November,2005,Python,3.64,#336994
November,2005,R,0.51,#2566B5
November,2005,Ruby,1.0999999999999999,#B01E00
November,2005,Rust,0.16999999999999998,#000000
November,2005,Scala,0.01,#DE3424
November,2005,Swift,0,#E94F37
November,2005,TypeScript,0,#3178C6
November,2005,VBA,1.6400000000000001,#93217F
November,2005,Visual Basic,6.92,NA
December,2005,Abap,0.38999999999999996,#06A9EA
December,2005,Ada,0.27999999999999997,#101EC8
December,2005,C/C++,8.38,#00599C
December,2005,C#,6.54,#813084
December,2005,Cobol,0.48,#1D1063
December,2005,Dart,0,#2DB6F6
December,2005,Delphi,2.45,#F32835
December,2005,Go,0,#66D0DE
December,2005,Groovy,0.08,#619CBC
December,2005,Haskell,0.27,#8F4E8B
December,2005,Java,29.880000000000003,#F8981E
December,2005,JavaScript,8.129999999999999,#F3D23C
December,2005,Julia,0,#369325
December,2005,Kotlin,0,#7F52FF
December,2005,Lua,0.32,#0F007C
December,2005,Matlab,2.36,#F0800E
December,2005,Objective-C,0.11,#AFB6CA
December,2005,Perl,6.569999999999999,#113E62
December,2005,PHP,19.35,#7277AD
December,2005,Python,3.8899999999999997,#336994
December,2005,R,0.53,#2566B5
December,2005,Ruby,1.24,#B01E00
December,2005,Rust,0.16,#000000
December,2005,Scala,0.01,#DE3424
December,2005,Swift,0,#E94F37
December,2005,TypeScript,0,#3178C6
December,2005,VBA,1.66,#93217F
December,2005,Visual Basic,6.92,NA
January,2006,Abap,0.4,#06A9EA
January,2006,Ada,0.29,#101EC8
January,2006,C/C++,8.540000000000001,#00599C
January,2006,C#,6.279999999999999,#813084
January,2006,Cobol,0.44999999999999996,#1D1063
January,2006,Dart,0,#2DB6F6
January,2006,Delphi,2.4,#F32835
January,2006,Go,0,#66D0DE
January,2006,Groovy,0.09,#619CBC
January,2006,Haskell,0.27,#8F4E8B
January,2006,Java,29.799999999999997,#F8981E
January,2006,JavaScript,8.12,#F3D23C
January,2006,Julia,0,#369325
January,2006,Kotlin,0,#7F52FF
January,2006,Lua,0.35000000000000003,#0F007C
January,2006,Matlab,2.33,#F0800E
January,2006,Objective-C,0.11,#AFB6CA
January,2006,Perl,6.34,#113E62
January,2006,PHP,19.73,#7277AD
January,2006,Python,3.9699999999999998,#336994
January,2006,R,0.51,#2566B5
January,2006,Ruby,1.37,#B01E00
January,2006,Rust,0.15,#000000
January,2006,Scala,0.02,#DE3424
January,2006,Swift,0,#E94F37
January,2006,TypeScript,0,#3178C6
January,2006,VBA,1.6099999999999999,#93217F
January,2006,Visual Basic,6.9,NA
February,2006,Abap,0.41000000000000003,#06A9EA
February,2006,Ada,0.32,#101EC8
February,2006,C/C++,8.43,#00599C
February,2006,C#,6.38,#813084
February,2006,Cobol,0.51,#1D1063
February,2006,Dart,0,#2DB6F6
February,2006,Delphi,2.4899999999999998,#F32835
February,2006,Go,0,#66D0DE
February,2006,Groovy,0.09,#619CBC
February,2006,Haskell,0.3,#8F4E8B
February,2006,Java,29.830000000000002,#F8981E
February,2006,JavaScript,7.9799999999999995,#F3D23C
February,2006,Julia,0,#369325
February,2006,Kotlin,0,#7F52FF
February,2006,Lua,0.37,#0F007C
February,2006,Matlab,2.42,#F0800E
February,2006,Objective-C,0.13,#AFB6CA
February,2006,Perl,6.12,#113E62
February,2006,PHP,19.55,#7277AD
February,2006,Python,3.9600000000000004,#336994
February,2006,R,0.5599999999999999,#2566B5
February,2006,Ruby,1.58,#B01E00
February,2006,Rust,0.13999999999999999,#000000
February,2006,Scala,0.02,#DE3424
February,2006,Swift,0,#E94F37
February,2006,TypeScript,0,#3178C6
February,2006,VBA,1.68,#93217F
February,2006,Visual Basic,6.75,NA
March,2006,Abap,0.37,#06A9EA
March,2006,Ada,0.27999999999999997,#101EC8
March,2006,C/C++,8.37,#00599C
March,2006,C#,6.49,#813084
March,2006,Cobol,0.49,#1D1063
March,2006,Dart,0,#2DB6F6
March,2006,Delphi,2.4,#F32835
March,2006,Go,0,#66D0DE
March,2006,Groovy,0.1,#619CBC
March,2006,Haskell,0.3,#8F4E8B
March,2006,Java,30.11,#F8981E
March,2006,JavaScript,8.04,#F3D23C
March,2006,Julia,0,#369325
March,2006,Kotlin,0,#7F52FF
March,2006,Lua,0.33999999999999997,#0F007C
March,2006,Matlab,2.55,#F0800E
March,2006,Objective-C,0.11,#AFB6CA
March,2006,Perl,5.91,#113E62
March,2006,PHP,19.55,#7277AD
March,2006,Python,3.94,#336994
March,2006,R,0.53,#2566B5
March,2006,Ruby,1.68,#B01E00
March,2006,Rust,0.09,#000000
March,2006,Scala,0.02,#DE3424
March,2006,Swift,0,#E94F37
March,2006,TypeScript,0,#3178C6
March,2006,VBA,1.6500000000000001,#93217F
March,2006,Visual Basic,6.67,NA
April,2006,Abap,0.36,#06A9EA
April,2006,Ada,0.25,#101EC8
April,2006,C/C++,8.48,#00599C
April,2006,C#,6.67,#813084
April,2006,Cobol,0.44,#1D1063
April,2006,Dart,0,#2DB6F6
April,2006,Delphi,2.18,#F32835
April,2006,Go,0,#66D0DE
April,2006,Groovy,0.11,#619CBC
April,2006,Haskell,0.29,#8F4E8B
April,2006,Java,30.159999999999997,#F8981E
April,2006,JavaScript,8.110000000000001,#F3D23C
April,2006,Julia,0,#369325
April,2006,Kotlin,0,#7F52FF
April,2006,Lua,0.35000000000000003,#0F007C
April,2006,Matlab,2.46,#F0800E
April,2006,Objective-C,0.1,#AFB6CA
April,2006,Perl,5.779999999999999,#113E62
April,2006,PHP,19.97,#7277AD
April,2006,Python,3.81,#336994
April,2006,R,0.53,#2566B5
April,2006,Ruby,1.78,#B01E00
April,2006,Rust,0.09,#000000
April,2006,Scala,0.03,#DE3424
April,2006,Swift,0,#E94F37
April,2006,TypeScript,0,#3178C6
April,2006,VBA,1.54,#93217F
April,2006,Visual Basic,6.52,NA
May,2006,Abap,0.33999999999999997,#06A9EA
May,2006,Ada,0.24,#101EC8
May,2006,C/C++,8.540000000000001,#00599C
May,2006,C#,6.64,#813084
May,2006,Cobol,0.44,#1D1063
May,2006,Dart,0,#2DB6F6
May,2006,Delphi,2.07,#F32835
May,2006,Go,0,#66D0DE
May,2006,Groovy,0.11,#619CBC
May,2006,Haskell,0.27999999999999997,#8F4E8B
May,2006,Java,30.23,#F8981E
May,2006,JavaScript,8.290000000000001,#F3D23C
May,2006,Julia,0,#369325
May,2006,Kotlin,0,#7F52FF
May,2006,Lua,0.35000000000000003,#0F007C
May,2006,Matlab,2.29,#F0800E
May,2006,Objective-C,0.1,#AFB6CA
May,2006,Perl,5.54,#113E62
May,2006,PHP,20.349999999999998,#7277AD
May,2006,Python,3.71,#336994
May,2006,R,0.52,#2566B5
May,2006,Ruby,1.9,#B01E00
May,2006,Rust,0.06999999999999999,#000000
May,2006,Scala,0.03,#DE3424
May,2006,Swift,0,#E94F37
May,2006,TypeScript,0,#3178C6
May,2006,VBA,1.51,#93217F
May,2006,Visual Basic,6.47,NA
June,2006,Abap,0.33999999999999997,#06A9EA
June,2006,Ada,0.22999999999999998,#101EC8
June,2006,C/C++,8.66,#00599C
June,2006,C#,6.47,#813084
June,2006,Cobol,0.44,#1D1063
June,2006,Dart,0,#2DB6F6
June,2006,Delphi,1.9300000000000002,#F32835
June,2006,Go,0,#66D0DE
June,2006,Groovy,0.11,#619CBC
June,2006,Haskell,0.27999999999999997,#8F4E8B
June,2006,Java,30.43,#F8981E
June,2006,JavaScript,8.41,#F3D23C
June,2006,Julia,0,#369325
June,2006,Kotlin,0,#7F52FF
June,2006,Lua,0.36,#0F007C
June,2006,Matlab,2.23,#F0800E
June,2006,Objective-C,0.11,#AFB6CA
June,2006,Perl,5.37,#113E62
June,2006,PHP,20.64,#7277AD
June,2006,Python,3.6700000000000004,#336994
June,2006,R,0.53,#2566B5
June,2006,Ruby,1.91,#B01E00
June,2006,Rust,0.06999999999999999,#000000
June,2006,Scala,0.03,#DE3424
June,2006,Swift,0,#E94F37
June,2006,TypeScript,0,#3178C6
June,2006,VBA,1.49,#93217F
June,2006,Visual Basic,6.3100000000000005,NA
July,2006,Abap,0.35000000000000003,#06A9EA
July,2006,Ada,0.22,#101EC8
July,2006,C/C++,8.48,#00599C
July,2006,C#,6.65,#813084
July,2006,Cobol,0.45999999999999996,#1D1063
July,2006,Dart,0,#2DB6F6
July,2006,Delphi,1.91,#F32835
July,2006,Go,0,#66D0DE
July,2006,Groovy,0.09,#619CBC
July,2006,Haskell,0.29,#8F4E8B
July,2006,Java,30.44,#F8981E
July,2006,JavaScript,8.44,#F3D23C
July,2006,Julia,0,#369325
July,2006,Kotlin,0,#7F52FF
July,2006,Lua,0.4,#0F007C
July,2006,Matlab,2.32,#F0800E
July,2006,Objective-C,0.13,#AFB6CA
July,2006,Perl,5.42,#113E62
July,2006,PHP,20.51,#7277AD
July,2006,Python,3.58,#336994
July,2006,R,0.5599999999999999,#2566B5
July,2006,Ruby,1.92,#B01E00
July,2006,Rust,0.08,#000000
July,2006,Scala,0.02,#DE3424
July,2006,Swift,0,#E94F37
July,2006,TypeScript,0,#3178C6
July,2006,VBA,1.48,#93217F
July,2006,Visual Basic,6.25,NA
August,2006,Abap,0.35000000000000003,#06A9EA
August,2006,Ada,0.21,#101EC8
August,2006,C/C++,8.450000000000001,#00599C
August,2006,C#,6.800000000000001,#813084
August,2006,Cobol,0.4,#1D1063
